#cores	linkedlist_harris_opt			linkedlist_lazy			linkedlist_optik			linkedlist_pugh			
1	1.76902	2.39563	2.33338	1.10986	1.20095	1.1364	1.11838	1.68644	1.67059	1.23235	1.20666	1.14277	
8	2.20009	3.42173	2.9411	1.60127	2.29178	1.97073	1.55906	2.80706	2.45668	1.70622	2.26203	2.0017	
16	2.96321	5.39718	3.75427	2.57311	3.80165	3.10242	2.40577	4.72866	3.47934	2.68199	3.63721	3.16679	
24	4.06358	7.3865	4.83527	3.843	5.57449	4.53936	3.59765	6.11156	4.69397	3.96325	5.77873	4.76736	
32	5.35412	8.3279	6.10147	5.19297	8.00328	6.20102	4.9626	8.38717	6.13576	5.36512	7.99925	6.5763	
40	6.5761	11.826	7.54678	6.38915	10.7554	8.57006	6.19967	11.059	7.84491	6.52831	10.4167	8.60548	
48	7.97131	14.3433	9.11455	7.14943	14.7174	11.7801	7.15794	15.4847	9.77175	7.48829	14.4092	11.6605	
56	9.12874	17.8665	10.2116	7.54115	19.7167	16.3265	7.98215	21.7468	12.0867	8.02597	18.0437	16.0387	
64	9.68154	24.2939	11.1884	7.48124	25.0003	21.9636	9.07542	28.0125	14.8198	8.18599	23.9178	20.6555	
