#cores	linkedlist_harris_opt			linkedlist_lazy			linkedlist_optik			linkedlist_pugh			
1	1.78763	2.43328	2.3723	1.10107	1.1986	1.123	1.10948	1.69287	1.66918	1.21428	1.21333	1.15335	
8	2.00141	3.52327	2.75309	1.36104	2.32699	1.68066	1.35441	2.50412	2.18723	1.44392	2.00582	1.78853	
16	2.43929	4.77671	3.18332	1.91877	3.60134	2.56784	1.83895	3.46207	2.84998	2.03065	3.50228	2.81861	
24	3.11652	6.00445	3.89075	2.8221	5.63659	3.78365	2.62292	5.05764	3.74767	2.93428	4.75974	4.05894	
32	3.90416	8.28663	4.69753	3.70809	7.33575	5.18238	3.63775	7.32963	4.97793	3.97007	7.2779	5.68536	
40	4.92094	11.0397	6.15868	4.62277	9.85979	7.31398	4.52966	9.95008	6.01022	4.80483	10.2722	7.62752	
48	5.84482	11.8011	6.82308	5.44407	13.1296	10.4491	5.36431	13.2403	7.78951	5.55073	15.6968	12.2918	
56	6.78889	15.0966	8.32107	5.96296	20.1999	16.0591	6.1675	20.2082	9.83395	6.33218	18.2504	16.3524	
64	7.71299	18.0886	9.43952	6.35512	25.0727	22.6557	7.12	22.3849	12.2011	7.04591	25.7255	19.5949	
